"28","John Singleton","Action | Crime | Drama | Mystery | Thriller","Mark Wahlberg","Tyrese Gibson","Garrett Hedlund","109 mins.","6.9"
"29","Kirk Jones","Comedy | Family | Fantasy","Emma Thompson","Colin Firth","Angela Lansbury","97 mins.","6.6"
"30","Mike Mitchell","Adventure | Comedy | Family | Sci-Fi","Kurt Russell","Kelly Preston","Michael Angarano","100 mins.","6.2"
"31","Jaume Collet-Serra","Horror","Chad Michael Murray","Paris Hilton","Elisha Cuthbert","113 mins.","5.3"
"32","Woody Allen","Drama | Romance | Thriller","Scarlett Johansson","Jonathan Rhys Meyers","Emily Mortimer","124 mins.","7.7"
"33","Robert Rodriguez","Action | Adventure | Family | Fantasy","Cayden Boyd","George Lopez","Kristin Davis","93 mins.","3.5"
"34","Eli Roth","Horror","Jay Hernandez","Derek Richardson","Eythor Gudjonsson","94 mins.","5.9"
"35","Lexi Alexander","Crime | Drama | Sport","Elijah Wood","Charlie Hunnam","Claire Forlani","109 mins.","7.5"
"36","Steven Spielberg","Drama | History | Thriller","Eric Bana","Daniel Craig","Marie-Josée Croze","164 mins.","7.6"
"37","Shane Black","Comedy | Crime | Mystery","Robert Downey Jr.","Val Kilmer","Michelle Monaghan","103 mins.","7.6"
"38","John Stockwell","Action | Adventure | Crime | Thriller","Paul Walker","Jessica Alba","Scott Caan","110 mins.","5.8"
"39","Adam Shankman","Adventure | Comedy | Family","Steve Martin","Bonnie Hunt","Hilary Duff","94 mins.","5.4"
"40","Clement Virgo","Drama | Romance","Lauren Lee Smith","Eric Balfour","Polly Shannon","93 mins.","5.5"
"41","Ron Howard","Biography | Drama | Sport","Russell Crowe","Renée Zellweger","Craig Bierko","144 mins.","8.0"
"42","Lasse Hallström","Drama","Jennifer Lopez","Robert Redford","Morgan Freeman","108 mins.","7.0"
"43","Ken Kwapis","Comedy | Drama | Romance","Amber Tamblyn","Alexis Bledel","America Ferrera","119 mins.","6.6"
"44","Andrew Douglas","Drama | Horror | Mystery | Thriller","Ryan Reynolds","Melissa George","Jimmy Bennett","90 mins.","6.0"
"45","Jon Favreau","Action | Adventure | Comedy | Family | Fantasy | Sci-Fi","Josh Hutcherson","Jonah Bobo","Dax Shepard","101 mins.","6.1"
